replicate,pos,y_bin,median_intensity
replicate_5,pos1,14.0,397.12845849802375
replicate_5,pos1,15.0,371.62025316455697
replicate_5,pos1,16.0,360.35245620061835
replicate_5,pos1,17.0,366.38541666666663
replicate_5,pos1,18.0,408.9490284426922
replicate_5,pos1,19.0,346.05405405405406
replicate_5,pos1,20.0,314.5129735339907
replicate_5,pos1,21.0,286.5833333333333
replicate_5,pos1,22.0,288.094512195122
replicate_5,pos1,23.0,274.53125
replicate_5,pos1,24.0,264.4830220713073
replicate_5,pos1,25.0,259.1320754716981
replicate_5,pos1,26.0,277.94415471534114
replicate_5,pos1,27.0,285.1304347826087
replicate_5,pos1,28.0,268.22222222222223
replicate_5,pos2,0.0,323.6666666666667
replicate_5,pos2,1.0,387.5111111111111
replicate_5,pos2,2.0,429.38461538461536
replicate_5,pos2,3.0,463.55
replicate_5,pos2,4.0,513.276932084309
replicate_5,pos2,5.0,527.026388888889
replicate_5,pos2,6.0,532.4666666666667
replicate_5,pos2,7.0,520.5441558441557
replicate_5,pos2,8.0,515.6530555555555
replicate_5,pos2,9.0,521.9264705882352
replicate_5,pos2,10.0,508.46666666666664
replicate_5,pos2,11.0,490.61734928670046
replicate_5,pos2,12.0,494.22058823529414
replicate_5,pos2,13.0,442.74
replicate_5,pos2,14.0,413.07142857142856
replicate_5,pos2,15.0,393.23376623376623
replicate_5,pos2,16.0,334.07894736842104
replicate_5,pos2,17.0,360.2886904761905
replicate_5,pos2,18.0,369.35989010989016
replicate_5,pos2,19.0,314.06976744186045
replicate_5,pos2,20.0,311.05860805860806
replicate_5,pos2,21.0,286.23754494093475
replicate_5,pos2,22.0,288.741935483871
replicate_5,pos2,23.0,276.1212121212121
replicate_5,pos2,24.0,268.32926829268297
replicate_5,pos2,25.0,254.11818181818182
replicate_5,pos2,26.0,255.5823754789272
replicate_5,pos2,27.0,244.22559252011308
replicate_5,pos2,28.0,247.71666666666667
replicate_5,pos2,29.0,303.64150943396226
replicate_5,pos3,0.0,292.35555555555555
replicate_5,pos3,1.0,330.63791432448147
replicate_5,pos3,2.0,335.2734848484848
replicate_5,pos3,3.0,346.3703703703704
replicate_5,pos3,4.0,332.1875
replicate_5,pos3,5.0,367.60737812911725
replicate_5,pos3,6.0,351.6111111111111
replicate_5,pos3,7.0,355.6521739130435
replicate_5,pos3,8.0,345.5696227533083
replicate_5,pos3,9.0,353.60869565217394
replicate_5,pos3,10.0,367.33725029377206
replicate_5,pos3,11.0,362.0444055944056
replicate_5,pos3,12.0,328.37254901960785
replicate_5,pos3,13.0,326.40277777777777
replicate_5,pos3,14.0,282.97080653142007
replicate_5,pos3,15.0,281.47222222222223
replicate_5,pos3,16.0,260.2522321428571
replicate_5,pos3,17.0,265.85559216902504
replicate_5,pos3,18.0,258.9064393939394
replicate_5,pos3,19.0,235.63333333333333
replicate_5,pos3,20.0,222.6170634920635
replicate_5,pos3,21.0,225.96428571428572
replicate_5,pos3,22.0,216.84375
replicate_5,pos3,23.0,220.30506756756756
replicate_5,pos3,24.0,220.5540540540541
replicate_5,pos3,25.0,218.88913870633
replicate_5,pos3,26.0,222.77888343241148
replicate_5,pos3,27.0,238.71507870753933
