replicate,pos,y_bin,y_um,median_intensity,corrected_intensity,bg_value,concentration,fitted_concentration
replicate_5,pos3,23,35.25,220.1148558758315,14.234258860906124,205.88059701492537,4.342263643082247,8.39870049819227
replicate_5,pos3,24,36.75,221.85365853658536,15.973061521659986,205.88059701492537,4.809869178624607,6.58386577565284
replicate_5,pos3,25,38.25,215.22033898305085,9.33974196812548,205.88059701492537,2.9919910921910886,4.779922667875323
replicate_5,pos3,26,39.75,210.50636792452832,4.625770909602949,205.88059701492537,1.613329505965735,2.983886932159177
replicate_5,pos3,27,41.25,205.88059701492537,0.0,205.88059701492537,0.0,1.1927874068801199
replicate_5,pos3,28,42.75,213.34943316013224,7.468836145206865,205.88059701492537,2.4573250208926374,-0.5963389036689772
replicate_5,pos3,29,44.25,202.67744755244755,-3.2031494624778247,205.88059701492537,0.0,-2.386451730928412
replicate_5,pos3,30,45.75,210.5,4.619402985074629,205.88059701492537,1.6113816409030413,-4.18051243832193
replicate_5,pos3,31,47.25,216.25352112676055,10.372924111835175,205.88059701492537,3.2821346695451843,-5.981488920206773
replicate_5,pos3,32,48.75,234.33939628482972,28.458799269904347,205.88059701492537,8.060921397781842,-7.792360511627786
replicate_5,pos3,33,50.25,252.025974025974,46.14537701104862,205.88059701492537,12.512102959450468,-9.616122916997714
replicate_5,pos4,0,0.75,274.8588235294118,70.27549019607841,204.58333333333337,18.51934912200994,64.10995282418833
replicate_5,pos4,1,2.25,310.87142857142857,106.2880952380952,204.58333333333337,27.62453877360552,59.12765342597637
replicate_5,pos4,2,3.75,356.8979591836735,152.31462585034012,204.58333333333337,39.84648983177207,54.51155768812785
replicate_5,pos4,3,5.25,352.77025089605735,148.18691756272398,204.58333333333337,38.715200346284504,50.23307609190086
replicate_5,pos4,4,6.75,344.8510638297872,140.26773049645385,204.58333333333337,36.56600834908595,46.26571011197682
replicate_5,pos4,5,8.25,345.5432098765432,140.95987654320982,204.58333333333337,36.752767597969616,42.5848880993951
replicate_5,pos4,6,9.75,338.881045751634,134.29771241830065,204.58333333333337,34.963444794425435,39.167813098483485
replicate_5,pos4,7,11.25,343.8262987012987,139.24296536796533,204.58333333333337,36.28987188085076,35.99332165524769
replicate_5,pos4,8,12.75,363.6928696668615,159.10953633352813,204.58333333333337,41.726059334694966,33.0417527427579
replicate_5,pos4,9,14.25,357.4440816326531,152.8607482993197,204.58333333333337,39.996752266824636,30.294825991729336
replicate_5,pos4,10,15.75,311.1047619047619,106.52142857142854,204.58333333333337,27.684581476603864,27.73552847212519
replicate_5,pos4,11,17.25,278.13614457831324,73.55281124497986,204.58333333333337,19.337661902708508,25.3480093245703
replicate_5,pos4,12,18.75,304.3181818181818,99.73484848484844,204.58333333333337,25.944735910484887,23.11748158898149
replicate_5,pos4,13,20.25,303.9853896103896,99.4020562770562,204.58333333333337,25.859755278710917,21.030130622395838
replicate_5,pos4,14,21.75,285.4852941176471,80.9019607843137,204.58333333333337,21.17831068738212,19.073028538788176
replicate_5,pos4,15,23.25,252.16892857142855,47.58559523809518,204.58333333333337,12.871173952853484,17.23405414096572
replicate_5,pos4,16,24.75,258.16958041958037,53.586247086247,204.58333333333337,14.36508154670797,15.501817848642846
