replicate,pos,y_bin,y_um,median_intensity,corrected_intensity,bg_value,concentration,fitted_concentration
replicate_5,pos10,27,49.17366071428572,1196.901831219628,290.2268841483509,906.6749470712772,7.6776841175218955,7.439500652464034
replicate_5,pos10,28,50.953014610389616,1026.9571428571428,120.28219578586561,906.6749470712772,0.78125,7.029789598451054
replicate_5,pos10,29,52.73236850649351,906.6749470712772,0.0,906.6749470712772,0.78125,6.639882564890677
replicate_5,pos11,0,1.1311055194805195,2609.736078989504,1549.8039802240721,1059.932098765432,32.48375802251484,37.60037710383897
replicate_5,pos11,1,2.9104594155844157,2705.2842105263157,1645.3521117608836,1059.932098765432,34.567841904262735,35.157072841759806
replicate_5,pos11,2,4.689813311688312,2693.422509578544,1633.490410813112,1059.932098765432,34.3071553688297,32.872314174602145
replicate_5,pos11,3,6.469167207792207,2573.735294117647,1513.8031953522147,1059.932098765432,31.71073519805353,30.735797672846466
replicate_5,pos11,4,8.248521103896104,2515.715,1455.782901234568,1059.932098765432,30.4837198823713,28.737888425152057
replicate_5,pos11,5,10.027875,2406.77868852459,1346.846589759158,1059.932098765432,28.25675453684865,26.869576588415647
replicate_5,pos11,6,11.807228896103895,2390.3663074712645,1330.4342087058324,1059.932098765432,27.931165337153917,25.12243675666021
replicate_5,pos11,7,13.586582792207793,2275.5616438356165,1215.6295450701843,1059.932098765432,25.735748510275027,23.488589965522507
replicate_5,pos11,8,15.365936688311688,1962.8400635208711,902.907964755439,1059.932098765432,19.221342804953782,21.960668160993116
replicate_5,pos11,9,17.145290584415584,1789.2882882882882,729.3561895228561,1059.932098765432,15.35115644557764,20.53178097217618
replicate_5,pos11,10,18.924644480519483,1780.9870426829268,721.0549439174947,1059.932098765432,15.173766283220752,19.195484638225977
replicate_5,pos11,11,20.703998376623375,1837.5142857142855,777.5821869488534,1059.932098765432,16.399791993984344,17.945752949332338
replicate_5,pos11,12,22.483352272727274,1683.0860215053765,623.1539227399444,1059.932098765432,13.165098467975012,16.776950070708867
replicate_5,pos11,13,24.26270616883117,1621.6756756756756,561.7435769102435,1059.932098765432,12.044249106554952,15.683805127030691
replicate_5,pos11,14,26.042060064935065,1609.1362684483447,549.2041696829126,1059.932098765432,11.864576580688365,14.661388432706215
replicate_5,pos11,15,27.821413961038964,1685.134831460674,625.2027326952418,1059.932098765432,13.205408937468803,13.705089260790398
replicate_5,pos11,16,29.600767857142856,1677.4117647058824,617.4796659404503,1059.932098765432,13.053870521291481,12.810595050285462
replicate_5,pos11,17,31.380121753246755,1570.8675851511673,510.9354863857352,1059.932098765432,11.395649391119758,11.973871958061256
replicate_5,pos11,18,33.159475649350654,1617.94551458448,558.0134158190479,1059.932098765432,11.989006279777332,11.191146667691864
replicate_5,pos11,19,34.938829545454546,1594.073487204018,534.1413884385859,1059.932098765432,11.668470117930262,10.45888937317267
replicate_5,pos11,20,36.71818344155844,1685.8024691358023,625.8703703703702,1059.932098765432,13.218561780791166,9.773797860780764
replicate_5,pos11,21,38.49753733766234,1765.7339449541284,705.8018461886963,1059.932098765432,14.850459501797138,9.132782617293678
replicate_5,pos11,22,40.27689123376624,1679.7860574298504,619.8539586644183,1059.932098765432,13.100337756929028,8.532952897409892
replicate_5,pos11,23,42.056245129870135,1616.3485772357724,556.4164784703403,1059.932098765432,11.96583964057783,7.971603687540305
replicate_5,pos11,24,43.83559902597403,1551.0910614813288,491.1589627158967,1059.932098765432,11.178217233477133,7.446203507182016
replicate_5,pos11,25,45.61495292207792,1558.3020295531423,498.36993078771025,1059.932098765432,11.256700764875378,6.954382992863232
replicate_5,pos11,26,47.39430681818182,1413.200470201888,353.26837143645594,1059.932098765432,9.208931712373625,6.493924213176846
replicate_5,pos11,27,49.17366071428572,1239.8440860215053,179.9119872560732,1059.932098765432,1.3356770395497783,6.062750666717564
replicate_5,pos11,28,50.953014610389616,1159.4120118233022,99.47991305787014,1059.932098765432,0.78125,5.658917917816766
replicate_5,pos11,29,52.73236850649351,1059.932098765432,0.0,1059.932098765432,0.78125,5.280604827845776
replicate_5,pos12,0,1.1311055194805195,2569.822010869565,1560.4836650049033,1009.3383458646616,32.714568648388024,37.98413102742037
replicate_5,pos12,1,2.9104594155844157,2693.228666666667,1683.8903208020051,1009.3383458646616,35.417200169152984,35.498687937328995
replicate_5,pos12,2,4.689813311688312,2630.2938144329896,1620.955468568328,1009.3383458646616,34.03216047610872,33.17566160738303
replicate_5,pos12,3,6.469167207792207,2577.6184995737426,1568.2801537090809,1009.3383458646616,32.88346195487745,31.0044235205255
replicate_5,pos12,4,8.248521103896104,2531.5342465753424,1522.1959007106807,1009.3383458646616,31.890212828073413,28.975039634794236
replicate_5,pos12,5,10.027875,2466.2181818181816,1456.87983595352,1009.3383458646616,30.506678756567133,27.078224932207934
replicate_5,pos12,6,11.807228896103895,2256.55585106383,1247.217505199168,1009.3383458646616,26.324920670095043,25.30530093712445
replicate_5,pos12,7,13.586582792207793,2116.085439560439,1106.7470936957775,1009.3383458646616,23.689163234064743,23.64815600970591
replicate_5,pos12,8,15.365936688311688,1933.2987012987016,923.96035543404,1009.3383458646616,19.700294790799386,22.099208232821233
replicate_5,pos12,9,17.145290584415584,1839.8924731182797,830.554127253618,1009.3383458646616,17.580582353797485,20.65137072258333
replicate_5,pos12,10,18.924644480519483,1726.3317659352142,716.9934200705526,1009.3383458646616,15.087338715046105,19.29801920380647
replicate_5,pos12,11,20.703998376623375,1573.7564102564102,564.4180643917485,1009.3383458646616,12.084874816116407,18.03296170203213
replicate_5,pos12,12,22.483352272727274,1549.5689655172414,540.2306196525798,1009.3383458646616,11.745501091030857,16.850410213455834
replicate_5,pos12,13,24.26270616883117,1556.3874336870026,547.049087822341,1009.3383458646616,11.835320646368059,15.744954223136345
replicate_5,pos12,14,26.042060064935065,1506.1129032258063,496.77455736114473,1009.3383458646616,11.239288581490309,14.711535950325576
replicate_5,pos12,15,27.821413961038964,1543.1117109634552,533.7733650987935,1009.3383458646616,11.66390176925969,13.745427207659509
replicate_5,pos12,16,29.600767857142856,1590.4304915514592,581.0921456867976,1009.3383458646616,12.359756827246859,12.842207768334008
replicate_5,pos12,17,31.380121753246755,1666.6849315068494,657.3465856421877,1009.3383458646616,13.847963649296789,11.99774514228931
replicate_5,pos12,18,33.159475649350654,1674.9567363530778,665.6183904884161,1009.3383458646616,14.016309337983996,11.208175668873272
replicate_5,pos12,19,34.938829545454546,1696.4679487179487,687.1296028532871,1009.3383458646616,14.45956875411533,10.469886839476901
replicate_5,pos12,20,36.71818344155844,1601.9360378634212,592.5976919987596,1009.3383458646616,12.573426318136214,9.779500769263043
replicate_5,pos12,21,38.49753733766234,1599.9125,590.5741541353383,1009.3383458646616,12.534884899188034,9.133858742366712
replicate_5,pos12,22,40.27689123376624,1666.5325754797705,657.1942296151088,1009.3383458646616,13.844874163314197,8.53000675985682
replicate_5,pos12,23,42.056245129870135,1649.477465214761,640.1391193500993,1009.3383458646616,13.501645307203818,7.965182024337018
replicate_5,pos12,24,43.83559902597403,1558.1565759637188,548.8182300990571,1009.3383458646616,11.859304989398806,7.436800299348914
replicate_5,pos12,25,45.61495292207792,1482.8333333333333,473.49498746867164,1009.3383458646616,10.985957741860105,6.9424440857431255
replicate_5,pos12,26,47.39430681818182,1400.118410128684,390.78006426402237,1009.3383458646616,9.90141394887103,6.479851560921769
