replicate,pos,y_bin,y_um,median_intensity,median_corrected_intensity,corrected_intensity,bg_value,concentration,fitted_concentration
replicate_2,pos0,27,41.25,1660.3239436619715,-75.12267476317311,39.379499217527155,1620.9444444444443,0.78125,0.6950160774978229
replicate_2,pos0,28,42.75,1703.6470588235295,-31.7995596016151,82.70261437908516,1620.9444444444443,0.78125,0.27698208034505517
replicate_2,pos0,29,44.25,1723.9169082125602,-11.529710212584405,102.97246376811586,1620.9444444444443,0.78125,-0.13841796489498104
replicate_2,pos0,30,45.75,1719.0166666666669,-16.429951758477728,98.07222222222254,1620.9444444444443,0.78125,-0.5551342911844531
replicate_2,pos0,31,47.25,1693.049180327869,-42.39743809727565,72.10473588342461,1620.9444444444443,0.78125,-0.9771296486165413
replicate_2,pos0,32,48.75,1710.7121212121212,-24.73449721302336,89.7676767676769,1620.9444444444443,0.78125,-1.4084169880561075
replicate_2,pos0,33,50.25,1723.983606557377,-11.463011867767593,103.03916211293267,1620.9444444444443,0.78125,-1.8530976221629405
replicate_2,pos0,34,51.75,1767.9655172413793,32.518898816234696,147.02107279693496,1620.9444444444443,0.78125,-2.315400226688559
replicate_2,pos1,0,0.75,2249.437426900585,513.9908084754402,937.5784525416104,1311.8589743589744,17.25361587426586,23.695034450884844
replicate_2,pos1,1,2.25,2337.714285714286,602.2676672891412,1025.8553113553114,1311.8589743589744,19.252375972410093,21.18006645313058
replicate_2,pos1,2,3.75,2314.7380952380954,579.2914768129508,1002.879120879121,1311.8589743589744,18.72958070143361,18.930470487163873
replicate_2,pos1,3,5.25,2186.1341064525723,450.68748802742743,874.2751320935979,1311.8589743589744,15.854895980881995,16.918060623846543
replicate_2,pos1,4,6.75,2219.310528756957,483.8639103318126,907.4515543979826,1311.8589743589744,16.582734729590726,15.117622716877413
replicate_2,pos1,5,8.25,2008.5642857142857,273.1176672891412,696.7053113553113,1311.8589743589744,12.256759840823168,13.506598486444817
replicate_2,pos1,6,9.75,2063.668709677419,328.2220912522746,751.8097353184446,1311.8589743589744,13.304572660028812,12.064802879105446
replicate_2,pos1,7,11.25,1986.4186046511627,250.9719862260181,674.5596302921883,1311.8589743589744,11.916863928421229,10.774171162598506
replicate_2,pos1,8,12.75,1992.336405529954,256.88978710480944,680.4774311709796,1311.8589743589744,12.001896891202199,9.618532586862518
replicate_2,pos1,9,14.25,1847.638227513228,112.19160908808306,535.7792531542536,1311.8589743589744,10.258820731202313,8.583407775379289
replicate_2,pos1,10,15.75,1944.6511627906975,209.20454436555292,632.7921884317232,1311.8589743589744,11.398714616367933,7.655827308294321
replicate_2,pos1,11,17.25,1749.6923076923076,14.245689267163016,437.83333333333326,1311.8589743589744,8.364609847012103,6.824169224281779
replicate_2,pos1,12,18.75,1737.7330224772836,2.286404052139005,425.87404811830925,1311.8589743589744,8.057921647889518,6.0780134051614265
replicate_2,pos1,13,20.25,1681.8915307971015,-53.55508762804311,370.03255643812713,1311.8589743589744,6.444838875684911,5.408011018804324
replicate_2,pos1,14,21.75,1643.542862021858,-91.9037564032866,331.68388766288354,1311.8589743589744,2.589285660419094,4.805767384534489
replicate_2,pos1,15,23.25,1586.2152981427173,-149.2313202824273,274.35632378374294,1311.8589743589744,0.8350963295283629,4.263736793408521
replicate_2,pos1,16,24.75,1503.9846153846156,-231.4620030405291,192.12564102564124,1311.8589743589744,0.78125,3.7751279655417918
replicate_2,pos1,17,26.25,1548.4722222222222,-186.97439620292243,236.6132478632478,1311.8589743589744,0.78125,3.333818959924948
replicate_2,pos1,18,27.75,1533.2444444444443,-202.2021739807003,221.38547008546993,1311.8589743589744,0.78125,2.9342804706077055
replicate_2,pos1,19,29.25,1454.6507936507935,-280.7958247743511,142.79181929181914,1311.8589743589744,0.78125,2.5715065482026036
replicate_2,pos1,20,30.75,1448.179577464789,-287.26704096035576,136.3206031058146,1311.8589743589744,0.78125,2.24095187869558
replicate_2,pos1,21,32.25,1466.753846153846,-268.6927722712985,154.89487179487173,1311.8589743589744,0.78125,1.9384748337089301
replicate_2,pos1,22,33.75,1456.1201809598742,-279.3264374652705,144.26120660089987,1311.8589743589744,0.78125,1.6602855786746267
replicate_2,pos1,23,35.25,1428.5689655172414,-306.8776529079032,116.70999115826703,1311.8589743589744,0.78125,1.4028985887481988
replicate_2,pos1,24,36.75,1404.9701492537313,-330.4764691714133,93.11117489475691,1311.8589743589744,0.78125,1.1630889775194178
replicate_2,pos1,25,38.25,1368.8333333333333,-366.61328509181135,56.97435897435889,1311.8589743589744,0.78125,0.937852091347805
replicate_2,pos1,26,39.75,1328.5,-406.9466184251446,16.641025641025635,1311.8589743589744,0.78125,0.7243658630670882
replicate_2,pos1,27,41.25,1311.8589743589744,-423.58764406617024,0.0,1311.8589743589744,0.78125,0.5199554533757522
replicate_2,pos1,28,42.75,1369.444099378882,-366.0025190462626,57.58512501990754,1311.8589743589744,0.78125,0.3220597368940284
replicate_2,pos1,29,44.25,1469.2054507337523,-266.241167691392,157.34647637477792,1311.8589743589744,0.78125,0.1281992129800739
replicate_2,pos1,30,45.75,1391.9213483146068,-343.5252701105378,80.06237395563244,1311.8589743589744,0.78125,-0.06405506075060707
replicate_2,pos1,31,47.25,1384.0629229925005,-351.3836954326441,72.20394863352612,1311.8589743589744,0.78125,-0.2571119014446769
replicate_2,pos1,32,48.75,1348.0550817341862,-387.3915366909585,36.196107375211795,1311.8589743589744,0.78125,-0.45339018187474195
