replicate,pos,y_bin,y_um,median_intensity,corrected_intensity,concentration,fitted_concentration
replicate_2,pos1,31,47.25,1384.0629229925005,-351.3836954326441,0.0,-0.1718266651144217
replicate_2,pos1,32,48.75,1348.0550817341862,-387.3915366909585,0.0,-0.3043778610843897
replicate_2,pos1,33,50.25,1293.2291666666667,-442.21745175847786,0.0,-0.4430288293385413
replicate_2,pos1,34,51.75,1530.8,-204.64661842514465,0.0,-0.590558153477927
replicate_2,pos1,35,53.25,1364.1789071680375,-371.26771125710707,0.0,-0.7499223405207768
replicate_2,pos2,0,0.75,2979.0227272727275,1243.5761088475829,30.726366685696284,33.52731612466271
replicate_2,pos2,1,2.25,3119.146779661017,1383.7001612358724,32.36955621190648,32.41773328782971
replicate_2,pos2,2,3.75,3011.523076923077,1276.0764584979324,31.11340260888033,31.30815045106965
replicate_2,pos2,3,5.25,2803.5319991438355,1068.0853807186909,28.563622853060874,30.198567614380032
replicate_2,pos2,4,6.75,2774.858401084011,1039.4117826588663,28.196951352930668,29.088984777758363
replicate_2,pos2,5,8.25,2703.1702127659573,967.7235943408128,27.26112534647684,27.979401941202145
replicate_2,pos2,6,9.75,2637.4202898550725,901.973671429928,26.37627969363564,26.86981910470888
replicate_2,pos2,7,11.25,2626.6341463414633,891.1875279163187,26.228463991120833,25.760236268276078
replicate_2,pos2,8,12.75,2466.723925299507,731.277306874362,23.93367658300623,24.650653431901226
replicate_2,pos2,9,14.25,2447.5714285714284,712.1248101462838,23.643948853199014,23.541070595581846
replicate_2,pos2,10,15.75,2416.1369863013697,680.6903678762251,23.160358158601635,22.43148775931543
replicate_2,pos2,11,17.25,2253.421875,517.9752565748554,20.46353647858568,21.321904923099485
replicate_2,pos2,12,18.75,2241.1666666666665,505.7200482415219,20.244509868097058,20.21232208693151
replicate_2,pos2,13,20.25,2162.7261904761904,427.27957205104576,18.774159591072458,19.10273925080902
replicate_2,pos2,14,21.75,2108.4222222222224,372.97560379707784,17.673440662898013,17.99315641472951
replicate_2,pos2,15,23.25,2183.7668103448277,448.3201919196831,19.181146974439045,16.88357357869048
replicate_2,pos2,16,24.75,2218.4748062015506,483.0281877764059,19.831811125589258,15.77399074268944
replicate_2,pos2,17,26.25,2002.6352699530516,267.18865152790715,15.256077035719096,14.664407906723891
replicate_2,pos2,18,27.75,1974.3506535947713,238.90403516962655,14.526048750127188,13.554825070791342
replicate_2,pos2,19,29.25,1933.3151455835575,197.86852715841303,13.378287541453796,12.445242234889285
replicate_2,pos2,20,30.75,1904.754716981132,169.3080985559875,12.500580193182918,11.335659399015231
