replicate,pos,y_bin,y_um,median_intensity,corrected_intensity,concentration,fitted_concentration
replicate_4,pos8,5,8.25,344.6774193548387,183.34782334387663,47.511199996791426,45.96259021370643
replicate_4,pos8,6,9.75,336.6619718309859,175.33237582002386,45.232153395779484,43.51386390836152
replicate_4,pos8,7,11.25,319.32758620689657,157.9979901959345,40.419906015942885,41.19384721458755
replicate_4,pos8,8,12.75,302.4561403508772,141.12654433991514,35.87649586257492,38.9956777574843
replicate_4,pos8,9,14.25,314.23809523809524,152.90849922713318,39.03544385946876,36.91285357396286
replicate_4,pos8,10,15.75,300.10375,138.77415398903796,35.25314379570648,34.939213880595744
replicate_4,pos8,11,17.25,285.2830188679245,123.95342285696243,31.378314765568955,33.06892085064227
replicate_4,pos8,12,18.75,278.8666666666667,117.5370706557046,29.727116791250094,31.296442346347078
replicate_4,pos8,13,20.25,267.794384057971,106.46478804700894,26.911612387158566,29.61653555543577
replicate_4,pos8,14,21.75,270.2105263157895,108.88093030482742,27.52252942270296,28.02423148340605
replicate_4,pos8,15,23.25,260.6666666666667,99.33707065570462,25.11989157412414,26.51482025574426
replicate_4,pos8,16,24.75,264.9647058823529,103.63510987139084,26.19846797413481,25.083837186592522
replicate_4,pos8,17,26.25,263.015625,101.68602898903794,25.70867622132861,23.727049572659222
replicate_4,pos8,18,27.75,268.0,106.67040398903794,26.96352963807692,22.440444173310507
replicate_4,pos8,19,29.25,254.45070422535213,93.12110821439006,23.569308263848022,21.220215339810043
replicate_4,pos8,20,30.75,241.0206349206349,79.69103890967286,20.252036931852377,20.06275375859475
replicate_4,pos8,21,32.25,231.86708019494904,70.53748418398698,18.01192102785443,18.96463577528999
replicate_4,pos8,22,33.75,223.3375,62.00790398903794,15.935109140220309,17.92261326788602
replicate_4,pos8,23,35.25,220.8064233064233,59.47682729546126,15.320134010991705,16.933604039121317
replicate_4,pos8,24,36.75,214.8448275862069,53.515231575244826,13.872789334490774,15.994682699654637
replicate_4,pos8,25,38.25,214.21818181818185,52.88858580721978,13.720686456334713,15.103072015058967
replicate_4,pos8,26,39.75,219.65217391304347,58.322577902081406,15.039813621343386,14.2561346910428
