replicate,pos,y_bin,y_um,median_intensity,corrected_intensity,concentration,fitted_concentration
replicate_2,pos0,22,33.75,1715.40625,-20.040368425144607,0.78125,2.282281661555722
replicate_2,pos0,23,35.25,1712.0675675675675,-23.379050857577113,0.78125,1.8947901459750236
replicate_2,pos0,24,36.75,1676.722446236559,-58.724172188585385,0.78125,1.5296724672807018
replicate_2,pos0,25,38.25,1724.6363636363635,-10.810254788781094,0.78125,1.182617286085231
replicate_2,pos0,26,39.75,1676.6017722878623,-58.84484613728216,0.78125,0.8495265464476222
replicate_2,pos0,27,41.25,1660.3239436619715,-75.12267476317311,0.78125,0.5264670856939794
replicate_2,pos0,28,42.75,1703.6470588235295,-31.7995596016151,0.78125,0.20962419131122725
replicate_2,pos0,29,44.25,1723.9169082125602,-11.529710212584405,0.78125,-0.10474344348998277
replicate_2,pos0,30,45.75,1719.0166666666669,-16.429951758477728,0.78125,-0.42034789743158174
replicate_2,pos0,31,47.25,1693.049180327869,-42.39743809727565,0.78125,-0.7409158536969838
replicate_2,pos0,32,48.75,1710.7121212121212,-24.73449721302336,0.78125,-1.0702326049106603
replicate_2,pos0,33,50.25,1723.983606557377,-11.463011867767593,0.78125,-1.4121867501827867
replicate_2,pos0,34,51.75,1767.9655172413793,32.518898816234696,0.78125,-1.7708161120053105
replicate_2,pos1,0,0.75,2249.437426900585,513.9908084754402,9.927966946232278,16.8113720072966
replicate_2,pos1,1,2.25,2337.714285714286,602.2676672891412,11.064508377520587,12.717470969368094
replicate_2,pos1,2,3.75,2314.7380952380954,579.2914768129508,10.809323423729731,9.620515671564595
replicate_2,pos1,3,5.25,2186.1341064525723,450.68748802742743,8.676112608960999,7.2777301406647625
replicate_2,pos1,4,6.75,2219.310528756957,483.8639103318126,9.389905927429545,5.5054591467346965
replicate_2,pos1,5,8.25,2008.5642857142857,273.1176672891412,0.8204791573436558,4.164771134750461
replicate_2,pos1,6,9.75,2063.668709677419,328.2220912522746,2.3876134698219844,3.150567126652376
replicate_2,pos1,7,11.25,1986.4186046511627,250.9719862260181,0.78125,2.3833418208025217
replicate_2,pos1,8,12.75,1992.336405529954,256.88978710480944,0.78125,1.8029510264081339
replicate_2,pos1,9,14.25,1847.638227513228,112.19160908808306,0.78125,1.363896850729921
replicate_2,pos1,10,15.75,1944.6511627906975,209.20454436555292,0.78125,1.0317610363029552
replicate_2,pos1,11,17.25,1749.6923076923076,14.245689267163016,0.78125,0.7805068509708627
replicate_2,pos1,12,18.75,1737.7330224772836,2.286404052139005,0.78125,0.5904380209730195
replicate_2,pos1,13,20.25,1681.8915307971015,-53.55508762804311,0.78125,0.44665470412749425
replicate_2,pos1,14,21.75,1643.542862021858,-91.9037564032866,0.78125,0.3378854640319196
replicate_2,pos1,15,23.25,1586.2152981427173,-149.2313202824273,0.78125,0.25560368160997715
replicate_2,pos1,16,24.75,1503.9846153846156,-231.4620030405291,0.78125,0.1933591378933656
replicate_2,pos1,17,26.25,1548.4722222222222,-186.97439620292243,0.78125,0.1462723695946303
replicate_2,pos1,18,27.75,1533.2444444444443,-202.2021739807003,0.78125,0.11065215908215618
replicate_2,pos1,19,29.25,1454.6507936507935,-280.7958247743511,0.78125,0.08370617309893803
replicate_2,pos1,20,30.75,1448.179577464789,-287.26704096035576,0.78125,0.06332206666662733
replicate_2,pos1,21,32.25,1466.753846153846,-268.6927722712985,0.78125,0.047901892510730994
replicate_2,pos1,22,33.75,1456.1201809598742,-279.3264374652705,0.78125,0.03623683505984036
replicate_2,pos1,23,35.25,1428.5689655172414,-306.8776529079032,0.78125,0.027412449188663698
replicate_2,pos1,24,36.75,1404.9701492537313,-330.4764691714133,0.78125,0.020736975197125515
replicate_2,pos1,25,38.25,1368.8333333333333,-366.61328509181135,0.78125,0.015687110506025153
replicate_2,pos1,26,39.75,1328.5,-406.9466184251446,0.78125,0.011866987013589347
replicate_2,pos1,27,41.25,1311.8589743589744,-423.58764406617024,0.78125,0.008977138273092268
replicate_2,pos1,28,42.75,1369.444099378882,-366.0025190462626,0.78125,0.0067910237720072205
replicate_2,pos1,29,44.25,1469.2054507337523,-266.241167691392,0.78125,0.005137270008123588
replicate_2,pos1,30,45.75,1391.9213483146068,-343.5252701105378,0.78125,0.0038862362082018975
replicate_2,pos1,31,47.25,1384.0629229925005,-351.3836954326441,0.78125,0.0029398515513542143
replicate_2,pos1,32,48.75,1348.0550817341862,-387.3915366909585,0.78125,0.002223927218558534
replicate_2,pos1,33,50.25,1293.2291666666667,-442.21745175847786,0.78125,0.0016823405958492675
replicate_2,pos1,34,51.75,1530.8,-204.64661842514465,0.78125,0.0012726357202665415
replicate_2,pos1,35,53.25,1364.1789071680375,-371.26771125710707,0.78125,0.0009626950794995796
replicate_2,pos2,0,0.75,2979.0227272727275,1243.5761088475829,23.993436351292647,29.993197665713193
replicate_2,pos2,1,2.25,3119.146779661017,1383.7001612358724,26.574035496181356,27.04070100556868
replicate_2,pos2,2,3.75,3011.523076923077,1276.0764584979324,24.618877941197752,24.37534557925404
replicate_2,pos2,3,5.25,2803.5319991438355,1068.0853807186909,20.21188374886495,21.968828368827936
replicate_2,pos2,4,6.75,2774.858401084011,1039.4117826588663,19.56084546071707,19.795594921360593
replicate_2,pos2,5,8.25,2703.1702127659573,967.7235943408128,17.93218526186697,17.832567989950114
replicate_2,pos2,6,9.75,2637.4202898550725,901.973671429928,16.461701817115582,16.058902479825814
replicate_2,pos2,7,11.25,2626.6341463414633,891.1875279163187,16.224339885524387,14.455764097347414
replicate_2,pos2,8,12.75,2466.723925299507,731.277306874362,12.902240988359196,13.006129351406065
replicate_2,pos2,9,14.25,2447.5714285714284,712.1248101462838,12.534253503397936,11.694604783471734
replicate_2,pos2,10,15.75,2416.1369863013697,680.6903678762251,12.00502868235914,10.50726350671714
replicate_2,pos2,11,17.25,2253.421875,517.9752565748554,9.991864630820166,9.431497318451308
replicate_2,pos2,12,18.75,2241.1666666666665,505.7200482415219,9.790120601778481,8.455882815466323
replicate_2,pos2,13,20.25,2162.7261904761904,427.27957205104576,8.094782662501743,7.570060090595887
replicate_2,pos2,14,21.75,2108.4222222222224,372.97560379707784,6.535685171268794,6.764622722382157
replicate_2,pos2,15,23.25,2183.7668103448277,448.3201919196831,8.620189980825545,6.031017889667355
replicate_2,pos2,16,24.75,2218.4748062015506,483.0281877764059,9.373523198536006,5.361455550441629
replicate_2,pos2,17,26.25,2002.6352699530516,267.18865152790715,0.78125,4.748825720530686
replicate_2,pos2,18,27.75,1974.3506535947713,238.90403516962655,0.78125,4.186622973717752
replicate_2,pos2,19,29.25,1933.3151455835575,197.86852715841303,0.78125,3.668877361577704
replicate_2,pos2,20,30.75,1904.754716981132,169.3080985559875,0.78125,3.190091019471261
replicate_2,pos2,21,32.25,1809.0688405797105,73.62222215456563,0.78125,2.7451797855275806
replicate_2,pos2,22,33.75,1812.2747419550697,76.82812352992516,0.78125,2.3294192126758184
replicate_2,pos2,23,35.25,1805.0232558139537,69.5766373888091,0.78125,1.93839440043533
replicate_2,pos2,24,36.75,1822.9019607843136,87.45534235916898,0.78125,1.5679531137356655
replicate_2,pos2,25,38.25,1796.535885167464,61.08926674231952,0.78125,1.214161690941997
replicate_2,pos2,26,39.75,1735.4093652826048,-0.0372531425398392,0.78125,0.8732632728797614
replicate_2,pos2,27,41.25,1737.952380952381,2.5057625272363566,0.78125,0.5416379092986714
replicate_2,pos2,28,42.75,1697.657894736842,-37.788723688302525,0.78125,0.2157641191524944
replicate_2,pos2,29,44.25,1662.032258064516,-73.4143603606285,0.78125,-0.10781850349114981
replicate_2,pos2,30,45.75,1741.764705882353,6.318087457208321,0.78125,-0.432546034993324
replicate_2,pos2,31,47.25,1741.9310344827586,6.484416057613998,0.78125,-0.7618667093341632
replicate_2,pos2,32,48.75,1666.2777777777778,-69.16884064736678,0.78125,-1.0992775344032348
replicate_2,pos2,33,50.25,1650.5685194672133,-84.87809895793146,0.78125,-1.4483614262128839
