replicate,pos,y_bin,y_um,median_intensity,corrected_intensity
replicate_2,pos1,11,17.25,1749.6923076923076,14.245689267163016
replicate_2,pos1,12,18.75,1737.7330224772836,2.286404052139005
replicate_2,pos1,13,20.25,1681.8915307971015,-53.55508762804311
replicate_2,pos1,14,21.75,1643.5428620218581,-91.9037564032866
replicate_2,pos1,15,23.25,1586.2152981427173,-149.2313202824273
replicate_2,pos1,16,24.75,1503.9846153846156,-231.4620030405291
replicate_2,pos1,17,26.25,1548.4722222222222,-186.97439620292243
replicate_2,pos1,18,27.75,1533.2444444444443,-202.2021739807003
replicate_2,pos1,19,29.25,1454.6507936507935,-280.7958247743511
replicate_2,pos1,20,30.75,1448.179577464789,-287.26704096035576
replicate_2,pos1,21,32.25,1466.753846153846,-268.6927722712985
replicate_2,pos1,22,33.75,1456.1201809598742,-279.3264374652705
replicate_2,pos1,23,35.25,1428.5689655172414,-306.8776529079032
replicate_2,pos1,24,36.75,1404.9701492537313,-330.4764691714133
replicate_2,pos1,25,38.25,1368.8333333333333,-366.61328509181135
replicate_2,pos1,26,39.75,1328.5,-406.9466184251446
replicate_2,pos1,27,41.25,1311.8589743589744,-423.58764406617024
replicate_2,pos1,28,42.75,1369.4440993788821,-366.0025190462626
replicate_2,pos1,29,44.25,1469.2054507337525,-266.241167691392
replicate_2,pos1,30,45.75,1391.9213483146068,-343.5252701105378
replicate_2,pos1,31,47.25,1384.0629229925005,-351.3836954326441
replicate_2,pos1,32,48.75,1348.0550817341862,-387.39153669095845
replicate_2,pos1,33,50.25,1293.2291666666667,-442.21745175847786
replicate_2,pos1,34,51.75,1530.8,-204.64661842514465
replicate_2,pos1,35,53.25,1364.1789071680375,-371.26771125710707
replicate_2,pos2,0,0.75,2979.0227272727275,1243.5761088475829
replicate_2,pos2,1,2.25,3119.146779661017,1383.7001612358724
replicate_2,pos2,2,3.75,3011.523076923077,1276.0764584979324
replicate_2,pos2,3,5.25,2803.5319991438355,1068.0853807186909
replicate_2,pos2,4,6.75,2774.858401084011,1039.4117826588663
replicate_2,pos2,5,8.25,2703.1702127659573,967.7235943408127
replicate_2,pos2,6,9.75,2637.4202898550725,901.9736714299279
replicate_2,pos2,7,11.25,2626.6341463414633,891.1875279163187
replicate_2,pos2,8,12.75,2466.723925299507,731.277306874362
replicate_2,pos2,9,14.25,2447.5714285714284,712.1248101462838
replicate_2,pos2,10,15.75,2416.1369863013697,680.6903678762251
replicate_2,pos2,11,17.25,2253.421875,517.9752565748554
replicate_2,pos2,12,18.75,2241.1666666666665,505.7200482415219
replicate_2,pos2,13,20.25,2162.7261904761904,427.27957205104576
replicate_2,pos2,14,21.75,2108.4222222222224,372.97560379707784
replicate_2,pos2,15,23.25,2183.7668103448277,448.3201919196831
replicate_2,pos2,16,24.75,2218.4748062015506,483.02818777640596
replicate_2,pos2,17,26.25,2002.6352699530516,267.18865152790715
replicate_2,pos2,18,27.75,1974.3506535947713,238.90403516962658
replicate_2,pos2,19,29.25,1933.3151455835578,197.86852715841303
replicate_2,pos2,20,30.75,1904.754716981132,169.3080985559875
replicate_2,pos2,21,32.25,1809.0688405797102,73.62222215456563
replicate_2,pos2,22,33.75,1812.2747419550697,76.82812352992516
replicate_2,pos2,23,35.25,1805.0232558139537,69.5766373888091
replicate_2,pos2,24,36.75,1822.9019607843136,87.45534235916898
replicate_2,pos2,25,38.25,1796.5358851674641,61.08926674231952
replicate_2,pos2,26,39.75,1735.4093652826048,-0.037253142539839246
replicate_2,pos2,27,41.25,1737.952380952381,2.5057625272363566
replicate_2,pos2,28,42.75,1697.657894736842,-37.788723688302525
replicate_2,pos2,29,44.25,1662.032258064516,-73.4143603606285
replicate_2,pos2,30,45.75,1741.764705882353,6.318087457208321
replicate_2,pos2,31,47.25,1741.9310344827586,6.484416057613998
replicate_2,pos2,32,48.75,1666.2777777777778,-69.16884064736678
replicate_2,pos2,33,50.25,1650.5685194672133,-84.87809895793146
replicate_2,pos2,34,51.75,1685.3398816373501,-50.1067367877946
replicate_2,pos3,0,0.75,3285.733333333333,1550.2867149081885
replicate_2,pos3,1,2.25,3422.5967741935483,1687.1501557684037
replicate_2,pos3,2,3.75,3307.7241379310344,1572.2775195058898
replicate_2,pos3,3,5.25,3343.8125,1608.3658815748554
replicate_2,pos3,4,6.75,3250.097536945813,1514.6509185206683
replicate_2,pos3,5,8.25,3028.385807990459,1292.9391895653143
replicate_2,pos3,6,9.75,3112.9827586206898,1377.5361401955452
replicate_2,pos3,7,11.25,3079.907187323147,1344.460568898002
replicate_2,pos3,8,12.75,2988.935483870968,1253.4888654458232
replicate_2,pos3,9,14.25,2686.2631578947367,950.816539469592
replicate_2,pos3,10,15.75,2609.438596491228,873.9919780660834
replicate_2,pos3,11,17.25,2557.722222222222,822.2756037970776
replicate_2,pos3,12,18.75,2516.2380952380954,780.7914768129508
replicate_2,pos3,13,20.25,2509.56,774.1133815748553
replicate_2,pos3,14,21.75,2354.3661971830984,618.9195787579538
replicate_2,pos3,15,23.25,2337.9965909090906,602.5499724839462
replicate_2,pos3,16,24.75,2195.6355072463766,460.18888882123224
replicate_2,pos3,17,26.25,2086.2915646258502,350.84494620070564
replicate_2,pos3,18,27.75,2070.6615384615384,335.2149200363938
replicate_2,pos3,19,29.25,2008.5855442176871,273.1389257925424
replicate_2,pos3,20,30.75,2009.6491228070176,274.20250438187304
replicate_2,pos3,21,32.25,1850.3023255813953,114.85570715625067
replicate_2,pos3,22,33.75,1862.1935483870968,126.74692996195222
replicate_2,pos3,23,35.25,1780.016693163752,44.570074738607445
replicate_2,pos3,24,36.75,1833.2696428571428,97.82302443199819
replicate_2,pos3,25,38.25,1814.9063492063492,79.4597307812046
replicate_2,pos3,26,39.75,1766.8507462686566,31.404127843512015
replicate_2,pos3,27,41.25,1835.1786273194725,99.73200889432792
replicate_2,pos3,28,42.75,1746.9209039548023,11.474285529657664
replicate_2,pos3,29,44.25,1773.658316008316,38.211697583171485
replicate_2,pos3,30,45.75,1801.40350877193,65.95689034678549
replicate_2,pos3,31,47.25,1877.4135723431498,141.96695391800517
replicate_2,pos3,32,48.75,1823.0105263157895,87.56390789064494
replicate_2,pos3,33,50.25,1776.679487179487,41.23286875434246
replicate_2,pos3,34,51.75,1902.8141114982577,167.36749307311322
replicate_2,pos4,0,0.75,3113.0553174117167,1377.608698986572
replicate_2,pos4,1,2.25,3130.965909090909,1395.5192906657644
replicate_2,pos4,2,3.75,3121.1145662847794,1385.6679478596345
replicate_2,pos4,3,5.25,2942.540864356012,1207.0942459308674
replicate_2,pos4,4,6.75,2834.24657814096,1098.7999597158157
replicate_2,pos4,5,8.25,2752.599903241413,1017.1532848162681
replicate_2,pos4,6,9.75,2751.3205128205127,1015.8738943953681
replicate_2,pos4,7,11.25,2687.1315789473683,951.6849605222237
replicate_2,pos4,8,12.75,2491.8371266002846,756.39050817514
replicate_2,pos4,9,14.25,2488.9375,753.4908815748554
replicate_2,pos4,10,15.75,2223.1477272727275,487.7011088475829
replicate_2,pos4,11,17.25,2214.5344827586205,479.0878643334761
replicate_2,pos4,12,18.75,2107.054054054054,371.60743562890957
replicate_2,pos4,13,20.25,2188.5476190476193,453.10100062247466
replicate_2,pos4,14,21.75,2101.8478260869565,366.4012076618119
replicate_2,pos4,15,23.25,2012.764705882353,277.3180874572083
replicate_2,pos4,16,24.75,1938.2,202.75338157485544
replicate_2,pos4,17,26.25,1837.4897959183672,102.04317749322263
replicate_2,pos4,18,27.75,1848.1831578947367,112.73653946959212
replicate_2,pos4,19,29.25,1781.1626506024095,45.71603217726499
replicate_2,pos4,20,30.75,1755.576227390181,20.129608965036255
replicate_2,pos4,21,32.25,1739.1851851851852,3.7385667600406123
replicate_2,pos4,22,33.75,1699.420218579235,-36.02639984590962
replicate_2,pos4,23,35.25,1717.3076923076922,-18.138926117452456
replicate_2,pos4,24,36.75,1705.9847560975609,-29.461862327583617
replicate_2,pos4,25,38.25,1712.925,-22.521618425144652
replicate_2,pos4,26,39.75,1714.4458262671942,-21.0007921579504
replicate_2,pos4,27,41.25,1699.1431010928961,-36.303517332248475
replicate_2,pos4,28,42.75,1690.708590138675,-44.738028286469785
replicate_2,pos4,29,44.25,1626.571428571429,-108.87518985371571
replicate_2,pos4,30,45.75,1645.15625,-90.2903684251446
replicate_2,pos4,31,47.25,1713.6363636363635,-21.810254788781094
replicate_2,pos4,32,48.75,1679.834249084249,-55.61236934089561
replicate_2,pos4,33,50.25,1681.01,-54.436618425144616
replicate_2,pos4,34,51.75,1755.370026525199,19.923408100054303
replicate_2,pos5,0,0.75,2687.889967637541,952.4433492123962
replicate_2,pos5,1,2.25,2827.6923076923076,1092.245689267163
replicate_2,pos5,2,3.75,2931.342857142857,1195.8962387177125
replicate_2,pos5,3,5.25,2963.942528735632,1228.4959103104875
replicate_2,pos5,4,6.75,2785.951219512195,1050.5046010870506
replicate_2,pos5,5,8.25,2722.7916666666665,987.3450482415219
replicate_2,pos5,6,9.75,2637.962962962963,902.5163445378184
replicate_2,pos5,7,11.25,2616.562937062937,881.1163186377926
replicate_2,pos5,8,12.75,2569.1449530516434,833.6983346264988
replicate_2,pos5,9,14.25,2446.9188006828854,711.4721822577405
replicate_2,pos5,10,15.75,2363.937519872814,628.4909014476693
replicate_2,pos5,11,17.25,2330.5735744355147,595.1269560103701
replicate_2,pos5,12,18.75,2409.1891771019677,673.7425586768231
replicate_2,pos5,13,20.25,2261.5959513435005,526.1493329183559
replicate_2,pos5,14,21.75,2209.813655761024,474.36703733587956
replicate_2,pos5,15,23.25,2168.67963314358,433.23301471843547
replicate_2,pos5,16,24.75,2022.3728864734298,286.92626804828535
replicate_2,pos5,17,26.25,2023.6612903225807,288.2146718974361
replicate_2,pos5,18,27.75,1955.0526315789473,219.60601315380268
replicate_2,pos5,19,29.25,1830.1060606060605,94.65944218091602
replicate_2,pos5,20,30.75,1783.3243243243244,47.87770589917977
replicate_2,pos5,21,32.25,1741.5873015873017,6.1406831621570745
replicate_2,pos5,22,33.75,1666.322033898305,-69.1245845268395
replicate_2,pos5,23,35.25,1712.3472222222222,-23.099396202922435
replicate_2,pos5,24,36.75,1717.8846153846157,-17.562003040528907
replicate_2,pos5,25,38.25,1674.0172413793102,-61.42937704583437
replicate_2,pos5,26,39.75,1699.179487179487,-36.26713124565754
replicate_2,pos5,27,41.25,1556.6580957978254,-178.78852262731925
replicate_2,pos5,28,42.75,1586.025641025641,-149.4209773995035
replicate_2,pos5,29,44.25,1718.625822368421,-16.820796056723566
replicate_2,pos5,30,45.75,1622.9605263157894,-112.48609210935524
replicate_2,pos5,31,47.25,1642.0,-93.4466184251446
replicate_2,pos5,32,48.75,1706.8731343283582,-28.573484096786387
replicate_2,pos5,33,50.25,1649.3076923076924,-86.13892611745223
replicate_2,pos5,34,51.75,1692.4225352112676,-43.02408321387702
replicate_2,pos5,35,53.25,1641.6369047619046,-93.8097136632399
replicate_2,pos6,0,0.75,3006.25,1270.8033815748554
replicate_2,pos6,1,2.25,3117.162393162393,1381.7157747372485
replicate_2,pos6,2,3.75,3020.47380952381,1285.027191098665
replicate_2,pos6,3,5.25,2929.04,1193.5933815748554
replicate_2,pos6,4,6.75,2942.0606854838707,1206.6140670587263
replicate_2,pos6,5,8.25,2930.409107402032,1194.9624889768875
replicate_2,pos6,6,9.75,2830.4052631578948,1094.9586447327501
replicate_2,pos6,7,11.25,2661.6158602150535,926.1692417899092
replicate_2,pos6,8,12.75,2600.899428274428,865.4528098492835
replicate_2,pos6,9,14.25,2585.7045454545455,850.2579270294009
replicate_2,pos6,10,15.75,2528.970779220779,793.5241607956348
replicate_2,pos6,11,17.25,2370.698113207547,635.2514947824025
replicate_2,pos6,12,18.75,2500.4675324675327,765.0209140423881
replicate_2,pos6,13,20.25,2315.327215189873,579.8805967647286
replicate_2,pos6,14,21.75,2290.4646317829456,555.0180133578012
replicate_2,pos6,15,23.25,2169.1078260869563,433.6612076618119
replicate_2,pos6,16,24.75,2027.4541666666664,292.00754824152193
replicate_2,pos6,17,26.25,1956.861111111111,221.41449268596648
replicate_2,pos6,18,27.75,1966.12987012987,230.6832517047253
replicate_2,pos6,19,29.25,1883.615626511853,148.16900808670846
replicate_2,pos6,20,30.75,1846.7020933977456,111.25547497260106
replicate_2,pos6,21,32.25,1789.4886363636365,54.04201793849188
replicate_2,pos6,22,33.75,1741.1857142857143,5.739095860569705
replicate_2,pos6,23,35.25,1835.356542617047,99.90992419190229
replicate_2,pos6,24,36.75,1799.358378870674,63.91176044552935
replicate_2,pos6,25,38.25,1771.870053475936,36.42343505079123
replicate_2,pos6,26,39.75,1753.340909090909,17.8942906657644
replicate_2,pos6,27,41.25,1702.090909090909,-33.3557093342356
replicate_2,pos6,28,42.75,1664.455337690632,-70.99128073451277
replicate_2,pos6,29,44.25,1710.4375,-25.009118425144607
replicate_2,pos6,30,45.75,1706.809523809524,-28.637094615620526
replicate_2,pos6,31,47.25,1667.6301907968575,-67.8164276282871
replicate_2,pos6,32,48.75,1721.557142857143,-13.889475568001671
replicate_2,pos6,33,50.25,1638.638888888889,-96.80772953625569
replicate_2,pos6,34,51.75,1639.5234375,-95.9231809251446
replicate_2,pos6,35,53.25,1808.8,73.35338157485535
replicate_2,pos7,0,0.75,2738.4313725490197,1002.9847541238751
replicate_2,pos7,1,2.25,2929.275,1193.8283815748555
replicate_2,pos7,2,3.75,3025.4586890243904,1290.0120705992458
replicate_2,pos7,3,5.25,2904.0470588235294,1168.600440398385
replicate_2,pos7,4,6.75,2786.0155332681015,1050.5689148429572
replicate_2,pos7,5,8.25,2649.25,913.8033815748554
replicate_2,pos7,6,9.75,2794.0,1058.5533815748554
replicate_2,pos7,7,11.25,2587.85,852.4033815748553
replicate_2,pos7,8,12.75,2508.100378787879,772.6537603627341
replicate_2,pos7,9,14.25,2461.0169491525426,725.570330727398
replicate_2,pos7,10,15.75,2389.123287671233,653.6766692460883
replicate_2,pos7,11,17.25,2278.1174603174604,542.6708418923156
replicate_2,pos7,12,18.75,2308.68,573.2333815748552
replicate_2,pos7,13,20.25,2228.146753246753,492.7001348216088
replicate_2,pos7,14,21.75,2178.0285714285715,442.58195300342686
replicate_2,pos7,15,23.25,2049.9764204545454,314.5298020294008
replicate_2,pos7,16,24.75,2062.2166666666667,326.7700482415221
replicate_2,pos7,17,26.25,1975.5247727272726,240.07815430212815
replicate_2,pos7,18,27.75,1870.046551724138,134.5999332989934
replicate_2,pos7,19,29.25,1914.732142857143,179.28552443199828
replicate_2,pos7,20,30.75,1828.9597402597403,93.51312183459572
replicate_2,pos7,21,32.25,1727.918918918919,-7.527699506225645
replicate_2,pos7,22,33.75,1720.9142857142858,-14.532332710858782
replicate_2,pos7,23,35.25,1717.1362085769981,-18.31040984814649
replicate_2,pos7,24,36.75,1679.6805555555557,-55.76606286958895
replicate_2,pos7,25,38.25,1696.0783866057839,-39.368231819360744
replicate_2,pos7,26,39.75,1769.920158450704,34.4735400255596
replicate_2,pos7,27,41.25,1681.9846153846154,-53.462003040529225
replicate_2,pos7,28,42.75,1728.6643818544367,-6.782236570708051
replicate_2,pos7,29,44.25,1678.4741666666666,-56.97245175847797
replicate_2,pos7,30,45.75,1713.3529411764705,-22.093677248674112
replicate_2,pos7,31,47.25,1741.7727272727273,6.3261088475826455
replicate_2,pos7,32,48.75,1768.246753246753,32.80013482160848
replicate_2,pos7,33,50.25,1773.348484848485,37.901866423340266
replicate_2,pos7,34,51.75,1610.395983935743,-125.05063448940166
replicate_2,pos8,0,0.75,2741.604938271605,1006.1583198464605
replicate_2,pos8,1,2.25,2906.6836384439357,1171.2370200187913
replicate_2,pos8,2,3.75,2950.1494252873563,1214.7028068622117
replicate_2,pos8,3,5.25,2717.5015432098767,982.0549247847321
replicate_2,pos8,4,6.75,2787.0,1051.5533815748554
replicate_2,pos8,5,8.25,2806.0456967213113,1070.5990782961667
replicate_2,pos8,6,9.75,2729.035067873303,993.5884494481586
replicate_2,pos8,7,11.25,2713.490909090909,978.0442906657645
replicate_2,pos8,8,12.75,2508.310344827586,772.8637264024414
replicate_2,pos8,9,14.25,2399.383255269321,663.9366368441763
replicate_2,pos8,10,15.75,2253.865671641791,518.4190532166463
replicate_2,pos8,11,17.25,2181.346153846154,445.8995354210092
replicate_2,pos8,12,18.75,2184.6,449.1533815748553
replicate_2,pos8,13,20.25,2074.686090225564,339.2394718004193
replicate_2,pos8,14,21.75,2041.8125,306.3658815748554
replicate_2,pos8,15,23.25,1989.12,253.67338157485528
replicate_2,pos8,16,24.75,1904.5819101834284,169.13529175828376
replicate_2,pos8,17,26.25,1849.129933481153,113.6833150560085
replicate_2,pos8,18,27.75,1874.0551378446114,138.6085194194668
replicate_2,pos8,19,29.25,1795.9840909090908,60.5374724839462
replicate_2,pos8,20,30.75,1830.576923076923,95.13030465177849
replicate_2,pos8,21,32.25,1768.421052631579,32.97443420643435
replicate_2,pos8,22,33.75,1668.375,-67.0716184251446
replicate_2,pos8,23,35.25,1678.481684981685,-56.964933443459586
replicate_2,pos8,24,36.75,1727.725641025641,-7.720977399503681
replicate_2,pos8,25,38.25,1701.0096251266464,-34.43699329849824
replicate_2,pos8,26,39.75,1678.553497468937,-56.89312095620767
replicate_2,pos8,27,41.25,1676.4814814814815,-58.96513694366308
replicate_2,pos8,28,42.75,1697.32,-38.12661842514467
replicate_2,pos8,29,44.25,1661.8194444444443,-73.62717398070015
replicate_2,pos8,30,45.75,1657.9019607843138,-77.5446576408309
replicate_2,pos8,31,47.25,1636.4137931034484,-99.03282532169624
replicate_2,pos8,32,48.75,1668.789090262971,-66.65752816217366
replicate_2,pos8,33,50.25,1754.0,18.553381574855393
replicate_2,pos8,34,51.75,1798.1162162162163,62.669597791071624
replicate_2,pos8,35,53.25,1762.2280219780218,26.78140355287735
replicate_2,pos9,0,0.75,2759.192281420765,1023.7456629956205
replicate_2,pos9,1,2.25,3030.2632275132273,1294.816609088083
replicate_2,pos9,2,3.75,3127.174822695036,1391.728204269891
replicate_2,pos9,3,5.25,3053.248977206312,1317.8023587811672
replicate_2,pos9,4,6.75,2994.1546678372843,1258.7080494121394
replicate_2,pos9,5,8.25,2898.719298245614,1163.2726798204694
replicate_2,pos9,6,9.75,2710.4111111111115,974.9644926859667
replicate_2,pos9,7,11.25,2555.5929541595924,820.1463357344478
replicate_2,pos9,8,12.75,2522.5098039215686,787.063185496424
replicate_2,pos9,9,14.25,2445.2727272727275,709.8261088475829
replicate_2,pos9,10,15.75,2337.86,602.4133815748555
replicate_2,pos9,11,17.25,2301.1739130434785,565.7272946183339
replicate_2,pos9,12,18.75,2237.1033088235295,501.65669039838485
replicate_2,pos9,13,20.25,2154.358002602472,418.9113841773276
replicate_2,pos9,14,21.75,2090.0350274725274,354.5884090473828
replicate_2,pos9,15,23.25,2036.5579890492781,301.11137062413366
replicate_2,pos9,16,24.75,1992.4725274725272,257.0259090473826
replicate_2,pos9,17,26.25,1913.9784090909093,178.53179066576467
replicate_2,pos9,18,27.75,1871.1875,135.7408815748554
replicate_2,pos9,19,29.25,1876.701754385965,141.25513596082033
replicate_2,pos9,20,30.75,1853.0500000000002,117.60338157485569
replicate_2,pos9,21,32.25,1810.7253694581282,75.27875103298368
replicate_2,pos9,22,33.75,1747.854838709677,12.40822028453249
replicate_2,pos9,23,35.25,1723.4790153349477,-11.96760309019703
replicate_2,pos9,24,36.75,1757.6818376068377,22.23521918169297
replicate_2,pos9,25,38.25,1736.9024390243903,1.455820599245726
replicate_2,pos9,26,39.75,1669.093023255814,-66.35359516933067
replicate_2,pos9,27,41.25,1683.1673427991886,-52.27927562595596
replicate_2,pos9,28,42.75,1680.7142857142858,-54.73233271085883
replicate_2,pos9,29,44.25,1694.7166666666667,-40.72995175847791
replicate_2,pos9,30,45.75,1691.0652929493544,-44.38132547579016
replicate_2,pos9,31,47.25,1716.6593567251462,-18.78726169999834
replicate_2,pos9,32,48.75,1710.762723289518,-24.683895135626585
replicate_2,pos9,33,50.25,1743.75,8.303381574855393
replicate_2,pos9,34,51.75,1786.85,51.4033815748553
replicate_2,pos9,35,53.25,1660.358024691358,-75.08859373378664
replicate_3,pos10,0,0.75,2494.673469387755,759.2268509626106
replicate_3,pos10,1,2.25,2645.648251748252,910.201633323107
replicate_3,pos10,2,3.75,2499.7066666666665,764.2600482415219
replicate_3,pos10,3,5.25,2586.8333333333335,851.3867149081889
replicate_3,pos10,4,6.75,2524.5833333333335,789.1367149081889
replicate_3,pos10,5,8.25,2280.866666666667,545.4200482415222
replicate_3,pos10,6,9.75,2185.320754716982,449.8741362918372
replicate_3,pos10,7,11.25,2165.2250000000004,429.77838157485553
replicate_3,pos10,8,12.75,2200.835978835979,465.38936041083434
replicate_3,pos10,9,14.25,2099.798528579513,364.3519101543686
replicate_3,pos10,10,15.75,2183.287878787879,447.8412603627344
replicate_3,pos10,11,17.25,2034.9850746268655,299.5384562017209
replicate_3,pos10,12,18.75,1978.0291666666667,242.58254824152198
replicate_3,pos10,13,20.25,1894.5172927164454,159.07067429130063
replicate_3,pos10,14,21.75,1738.7274976801732,3.2808792550285943
replicate_3,pos10,15,23.25,1774.9051543998144,39.458535974669644
replicate_3,pos10,16,24.75,1744.8688524590164,9.422234033871746
replicate_3,pos10,17,26.25,1683.5289115646258,-51.91770686051882
replicate_3,pos10,18,27.75,1733.9224358974357,-1.524182527708831
replicate_3,pos10,19,29.25,1605.7988235294117,-129.6477948957329
replicate_3,pos10,20,30.75,1672.6893530997304,-62.75726532541421
replicate_3,pos10,21,32.25,1659.4389305035372,-76.00768792160738
replicate_3,pos10,22,33.75,1567.8701048951048,-167.57651353003973
replicate_3,pos10,23,35.25,1580.46113383986,-154.98548458528478
replicate_3,pos10,24,36.75,1560.1496045197741,-175.2970139053706
replicate_3,pos10,25,38.25,1524.5263364779873,-210.92028194715726
replicate_3,pos10,26,39.75,1478.5526315789473,-256.8939868461973
replicate_3,pos10,27,41.25,1480.6065573770493,-254.84006104809532
replicate_3,pos10,28,42.75,1539.882420091324,-195.5641983338204
replicate_3,pos10,29,44.25,1563.878048780488,-171.5685696446567
replicate_3,pos10,30,45.75,1517.236111111111,-218.21050731403352
replicate_3,pos10,31,47.25,1528.7049261083744,-206.74169231677024
replicate_3,pos10,32,48.75,1558.9800347222222,-176.46658370292243
replicate_3,pos10,33,50.25,1575.3068181818182,-160.13980024332636
replicate_3,pos10,34,51.75,1558.2597402597405,-177.1868781654041
replicate_3,pos11,0,0.75,2820.4648666232924,1085.0182481981476
replicate_3,pos11,1,2.25,3016.4594594594596,1281.012841034315
replicate_3,pos11,2,3.75,2982.2638888888887,1246.817270463744
replicate_3,pos11,3,5.25,3058.2702702702704,1322.8236518451258
replicate_3,pos11,4,6.75,2903.2600529100528,1167.8134344849084
replicate_3,pos11,5,8.25,2713.6684684684687,978.2218500433239
replicate_3,pos11,6,9.75,2597.7981598619895,862.3515414368449
replicate_3,pos11,7,11.25,2514.053240740741,778.606622315596
replicate_3,pos11,8,12.75,2509.190476190476,773.7438577653315
replicate_3,pos11,9,14.25,2412.293103448276,676.8464850231312
replicate_3,pos11,10,15.75,2332.062448218724,596.6158297935795
replicate_3,pos11,11,17.25,2228.137330316742,492.69071189159763
replicate_3,pos11,12,18.75,2158.629310344828,423.18269191968307
replicate_3,pos11,13,20.25,2204.5526315789475,469.1060131538029
replicate_3,pos11,14,21.75,2048.35,312.9033815748553
replicate_3,pos11,15,23.25,1952.1311389759667,216.68452055082196
replicate_3,pos11,16,24.75,1977.976235146967,242.52961672182232
replicate_3,pos11,17,26.25,1891.7432432432431,156.2966248180985
replicate_3,pos11,18,27.75,1785.5504009163803,50.103782491235734
replicate_3,pos11,19,29.25,1781.4061147186148,45.959496293470124
replicate_3,pos11,20,30.75,1718.6382978723404,-16.80832055280416
replicate_3,pos11,21,32.25,1666.3877354452056,-69.05888297993909
replicate_3,pos11,22,33.75,1721.1767053701017,-14.269913055042935
replicate_3,pos11,23,35.25,1650.4804347826089,-84.96618364253584
replicate_3,pos11,24,36.75,1651.3023255813953,-84.14429284374933
replicate_3,pos11,25,38.25,1666.78125,-68.6653684251446
replicate_3,pos11,26,39.75,1650.7464788732395,-84.70013955190507
replicate_3,pos11,27,41.25,1676.137254901961,-59.30936352318372
replicate_3,pos11,28,42.75,1690.9924585218705,-44.45415990327422
replicate_3,pos11,29,44.25,1647.4053387650088,-88.04127966013596
replicate_3,pos11,30,45.75,1593.8592377941695,-141.5873806309752
replicate_3,pos11,31,47.25,1594.8311403508771,-140.61547807426746
replicate_3,pos11,32,48.75,1598.375,-137.0716184251446
replicate_3,pos11,33,50.25,1697.6969696969695,-37.74964872817509
replicate_3,pos11,34,51.75,1683.1875,-52.25911842514461
