replicate,pos,y_bin,y_um,median_intensity,median_corrected_intensity,corrected_intensity,bg_value,concentration,fitted_concentration
replicate_4,pos10,33,50.25,215.6712328767123,54.341636865750246,26.163972602739705,189.5072602739726,7.183170618769203,0.06554835765055798
replicate_4,pos10,34,51.75,213.77837837837836,52.4487823674163,24.27111810440576,189.5072602739726,6.710683179546366,0.05238034031159691
replicate_4,pos14,0,0.75,277.0343035343035,115.70470752334144,89.1771606771606,187.8571428571429,22.590768608666917,69.53566021479443
replicate_4,pos14,1,2.25,312.3333333333333,151.00373732237125,124.47619047619042,187.8571428571429,31.51351718690466,60.20317509038876
replicate_4,pos14,2,3.75,336.05762711864406,174.728031107682,148.20048426150117,187.8571428571429,37.76560150511797,52.122069064933676
replicate_4,pos14,3,5.25,362.4331173780488,201.10352136708673,174.5759745209059,187.8571428571429,45.01890044253731,45.12436881872514
replicate_4,pos14,4,6.75,385.5973767885533,224.2677807775912,197.7402339314104,187.8571428571429,51.695644776112545,39.06462063083102
replicate_4,pos14,5,8.25,317.7,156.37040398903792,129.8428571428571,187.8571428571429,32.90756392621116,33.816866987949886
replicate_4,pos14,6,9.75,303.24692874692875,141.91733273596668,115.38978588978586,187.8571428571429,29.17784209811006,29.272028440114457
replicate_4,pos14,7,11.25,292.5471903982542,131.21759438729217,104.69004754111131,187.8571428571429,26.464047258162815,25.33563628267043
replicate_4,pos14,8,12.75,280.09090909090907,118.761313079947,92.23376623376618,187.8571428571429,23.348804666887258,21.92586893621266
replicate_4,pos14,9,14.25,262.17428003972196,100.8446840287599,74.31713718257907,187.8571428571429,18.935204756480328,18.97185120880593
replicate_4,pos14,10,15.75,245.0,83.67040398903794,57.14285714285711,187.8571428571429,14.75336976708612,16.412181089070327
replicate_4,pos14,11,17.25,246.50378787878788,85.17419186782583,58.646645021644986,187.8571428571429,15.118509664875802,14.193653448152823
replicate_4,pos14,12,18.75,232.7576923076923,71.42809629673025,44.90054945054942,187.8571428571429,11.780475116001252,12.27015412154101
replicate_4,pos14,13,20.25,224.3695652173913,63.03996920642925,36.51242236024842,187.8571428571429,9.735016762926985,10.601701383178828
replicate_4,pos14,14,21.75,221.07894736842104,59.74935135745898,33.22180451127815,187.8571428571429,8.928111512271613,9.15361488803069
replicate_4,pos14,15,23.25,218.3571428571429,57.027546846180826,30.5,187.8571428571429,8.257858069870506,7.8957948087904635
replicate_4,pos14,16,24.75,214.01377217553687,52.684176164574794,26.156629318393982,187.8571428571429,7.181341975980945,6.802096182920241
replicate_4,pos14,17,26.25,210.31385869565216,48.984262684690094,22.45671583850927,187.8571428571429,6.255447829638288,5.849785465238888
replicate_4,pos14,18,27.75,205.95416666666665,44.6245706557046,18.097023809523762,187.8571428571429,5.150035244957674,5.019067989999555
replicate_4,pos14,19,29.25,205.3815789473684,44.05198293640635,17.52443609022552,187.8571428571429,5.00339876528692,4.292676520315043
replicate_4,pos14,20,30.75,198.34717465753425,37.01757864657219,10.490031800391364,187.8571428571429,3.1619593727578277,3.6555123325473584
replicate_4,pos14,21,32.25,198.08822401227465,36.75862800131259,10.231081155131761,187.8571428571429,3.092324367196318,3.0943313752660733
replicate_4,pos14,22,33.75,192.56164383561645,31.232047824654387,4.704500978473561,187.8571428571429,1.5515693005536653,2.5974689792969032
replicate_4,pos14,23,35.25,194.375,33.045403989037936,6.51785714285711,187.8571428571429,2.0712958450673273,2.154597396702354
replicate_4,pos14,24,36.75,191.29647435897436,29.966878348012315,3.439331501831475,187.8571428571429,1.176047200695019,1.7565111289161788
replicate_4,pos14,25,38.25,192.8947368421053,31.565140831143225,5.037593984962399,187.8571428571429,1.6484581642567784,1.3949355818768705
replicate_4,pos14,26,39.75,187.8571428571429,26.527546846180822,0.0,187.8571428571429,0.0,1.0623550708788079
replicate_4,pos14,27,41.25,191.4109936109275,30.081397599965456,3.553850753784616,187.8571428571429,1.2106017996386063,0.751856600061616
replicate_4,pos14,28,42.75,191.88372093023256,30.554124919270492,4.0265780730896665,187.8571428571429,1.3519731537980266,0.4569861693488303
replicate_4,pos14,29,44.25,195.16071428571428,33.831118274752214,7.303571428571388,187.8571428571429,2.291451185097794,0.17161462204167988
replicate_4,pos14,30,45.75,201.5421686746988,40.21257266373672,13.685025817555896,187.8571428571429,4.008873741988593,-0.11018975541479675
replicate_4,pos14,31,47.25,204.38523908523908,43.055643074277015,16.52809622809619,187.8571428571429,4.747291648366523,-0.3942845296258886
replicate_4,pos14,32,48.75,211.30327004219407,49.97367403123201,23.446127185051182,187.8571428571429,6.503995022948293,-0.6865748752279018
replicate_4,pos14,33,50.25,212.3483146067416,51.018718595779546,24.49117174959872,187.8571428571429,6.765733112407026,-0.9931363194461407
replicate_4,pos14,34,51.75,215.16666666666663,53.83707065570459,27.30952380952374,187.8571428571429,7.468053529211859,-1.3203410275902063
replicate_4,pos17,0,0.75,301.125,139.79540398903794,106.43903688524591,194.6859631147541,26.905111255072327,86.29932201370718
replicate_4,pos17,1,2.25,329.44736842105266,168.1177724100906,134.76140530629857,194.6859631147541,34.19523238458224,72.61019741617915
replicate_4,pos17,2,3.75,348.0943396226415,186.76474361167945,153.4083765078874,194.6859631147541,39.17087651512493,61.09228670714898
replicate_4,pos17,3,5.25,333.99296803652965,172.6633720255676,139.30700492177556,194.6859631147541,35.394134356033874,51.40117755077649
replicate_4,pos17,4,6.75,329.1063829787234,167.77678696776132,134.4204198639693,194.6859631147541,34.105645148895206,43.24708322916226
replicate_4,pos17,5,8.25,349.7142857142857,188.3846897033237,155.02832259953163,194.6859631147541,39.610583124721096,36.38617734506161
replicate_4,pos17,6,9.75,316.4740740740741,155.14447806311202,121.78811095932002,194.6859631147541,30.81939686871607,30.613302845149743
replicate_4,pos17,7,11.25,276.0344827586207,114.70488674765863,81.34851964386661,194.6859631147541,20.659285229719845,25.755837346665153
replicate_4,pos17,8,12.75,275.8636363636364,114.53404035267432,81.17767324888229,194.6859631147541,20.617282244932817,21.668531326420915
replicate_4,pos17,9,14.25,265.1844951923077,103.85489918134562,70.49853207755359,194.6859631147541,18.002416934675598,18.22916482202203
replicate_4,pos17,10,15.75,251.9375,90.60790398903794,57.25153688524591,194.6859631147541,14.779755670962471,15.33489277054739
replicate_4,pos17,11,17.25,247.4010180995475,86.07142208858545,52.715054984793426,194.6859631147541,13.6785655976183,12.899169701816856
replicate_4,pos17,12,18.75,231.84016393442624,70.51056792346418,37.154200819672155,194.6859631147541,9.892026100205104,10.849161827415706
replicate_4,pos17,13,20.25,227.6176470588235,66.28805104786144,32.93168394406942,194.6859631147541,8.856801953796896,9.123569140914835
replicate_4,pos17,14,21.75,229.97674418604652,68.64714817508445,35.29078107129243,194.6859631147541,9.435836485898552,7.670792405015024
replicate_4,pos17,15,23.25,232.15151515151516,70.82191914055309,37.46555203676107,194.6859631147541,9.968159468703893,6.447390214264727
replicate_4,pos17,16,24.75,224.82216142270863,63.492565411746554,30.136198307954544,194.6859631147541,8.168042138783019,5.416779995935896
