replicate,pos,y_bin,y_um,median_intensity,corrected_intensity,concentration,fitted_concentration
replicate_5,pos1,21,32.25,333.21794871794873,171.88835270698667,37.99859609346925,39.757688714555194
replicate_5,pos1,22,33.75,340.6144578313253,179.28486182036323,39.29135431570016,37.03883994416531
replicate_5,pos1,23,35.25,295.10218253968253,133.7725865287205,33.2041588170404,34.45907526957677
replicate_5,pos1,24,36.75,278.1552845528455,116.82568854188348,31.4578411863255,32.00870744794702
replicate_5,pos1,25,38.25,276.83720930232556,115.5076132913635,31.320339584748258,29.678535132976698
replicate_5,pos1,26,39.75,259.0,97.67040398903794,29.35426031376812,27.459808323046513
replicate_5,pos1,27,41.25,257.7936507936508,96.46405478268872,29.211595577948046,25.344195504192896
replicate_5,pos1,28,42.75,259.86471861471864,98.53512260375658,29.455613670438392,23.323752364541605
replicate_5,pos1,29,44.25,252.95,91.62040398903792,28.623021827984843,21.39089196271922
replicate_5,pos1,30,45.75,252.51754716981137,91.18795115884926,28.56918574931824,19.538356238222143
replicate_5,pos1,31,47.25,264.7,103.37040398903792,30.009248824798863,17.759188756762207
replicate_5,pos1,32,48.75,267.05555555555554,105.72595954459348,30.271581857696106,16.046708588245195
replicate_5,pos1,33,50.25,266.2,104.87040398903792,30.176817100915457,14.394485219291782
replicate_5,pos2,0,0.75,308.7887323943662,147.45913638340414,34.69076182021219,154.80976763356205
replicate_5,pos2,1,2.25,373.8225806451613,212.4929846341992,46.505338449747256,145.71504962080613
replicate_5,pos2,2,3.75,428.2308695652174,266.90127355425534,61.97406658632859,137.13645136589403
replicate_5,pos2,3,5.25,450.457627118644,289.1280311076819,69.90317141192322,129.0435876473578
replicate_5,pos2,4,6.75,473.50877192982455,312.1791759188625,79.32463929149895,121.40779370563038
replicate_5,pos2,5,8.25,500.89961538461534,339.5700193736533,92.39975854035306,114.2020237130474
replicate_5,pos2,6,9.75,516.8979591836735,355.56836317271143,101.15176964478155,107.40075497807261
replicate_5,pos2,7,11.25,527.8181818181819,366.4885858072198,107.65836987114041,100.97989754444106
replicate_5,pos2,8,12.75,539.024031007752,377.6944349967899,114.82439143386586,94.91670886502101
replicate_5,pos2,9,14.25,488.8831168831169,327.5535208721548,86.38515979951093,89.1897132481723
replicate_5,pos2,10,15.75,514.8769841269841,353.54738811602203,99.9964812025348,83.77862579128103
replicate_5,pos2,11,17.25,503.89473684210526,342.5651408311432,93.97140327699027,78.66428053204483
replicate_5,pos2,12,18.75,476.24444444444447,314.9148484334824,80.53176227138368,73.82856256302209
replicate_5,pos2,13,20.25,461.05102040816325,299.7214243972012,74.07147551306146,69.25434386899632
replicate_5,pos2,14,21.75,402.3777777777778,241.04818176681573,53.991424481218836,64.92542265989285
replicate_5,pos2,15,23.25,397.1939443535188,235.86434834255675,52.53504519473999,60.82646598436596
replicate_5,pos2,16,24.75,380.5263157894737,219.19671977851164,48.148947493242645,56.94295542079556
replicate_5,pos2,17,26.25,384.0597014925374,222.73010548157532,49.0423369990866,53.26113565333155
replicate_5,pos2,18,27.75,381.0,219.6704039890379,48.26761412087927,49.76796575084322
replicate_5,pos2,19,29.25,313.68333333333334,152.35373732237127,35.26751646620566,46.451072976205104
replicate_5,pos2,20,30.75,330.52,169.19040398903792,37.56869106423341,43.298708962312425
replicate_5,pos2,21,32.25,357.27272727272725,195.9431312617652,42.720744175231964,40.299708099602405
replicate_5,pos2,22,33.75,293.35483870967744,132.02524269871537,33.022670217137374,37.4434479876911
replicate_5,pos2,23,35.25,306.5,145.17040398903794,34.43103099154095,34.71981181104619
replicate_5,pos2,24,36.75,279.30171358629127,117.97211757532924,31.57692124198113,32.11915250543098
replicate_5,pos2,25,38.25,272.60869565217394,111.27909964121189,30.873912493147387,29.63225858819806
replicate_5,pos2,26,39.75,260.9378306878307,99.60823467686862,29.580366405894754,27.25032153140411
replicate_5,pos2,27,41.25,260.2826923076923,98.95309629673024,29.504337975593472,24.964904562182156
replicate_5,pos2,28,42.75,248.2089552238806,86.87935921291853,28.020567924949564,22.767912779862723
replicate_5,pos2,29,44.25,246.63892857142855,85.30933256046649,27.814932932819012,20.651564483999454
replicate_5,pos2,30,45.75,242.4897129186603,81.16011690769824,27.256089594331918,18.608363611743535
replicate_5,pos2,31,47.25,233.34615384615384,72.01655783519178,25.94186356196042,16.631073186940768
replicate_5,pos2,32,48.75,234.20689655172413,72.87730054076206,26.07056964498164,14.712689686908405
replicate_5,pos2,33,50.25,235.65973813420624,74.33014212324416,26.28543430394681,12.846418236099511
replicate_5,pos2,34,51.75,258.58075563411404,97.25115962315196,29.30484933017206,11.025648538791245
