replicate,pos,y_bin,y_um,median_intensity
replicate_4,pos36,33,50.25,230.73430353430354
replicate_4,pos36,34,51.75,234.50602409638552
replicate_4,pos37,0,0.75,277.0111111111111
replicate_4,pos37,1,2.25,320.5735294117647
replicate_4,pos37,2,3.75,352.0357142857143
replicate_4,pos37,3,5.25,369.7454194792672
replicate_4,pos37,4,6.75,377.92063492063494
replicate_4,pos37,5,8.25,368.89133986928107
replicate_4,pos37,6,9.75,364.95238095238096
replicate_4,pos37,7,11.25,350.6928205128205
replicate_4,pos37,8,12.75,317.2506053268765
replicate_4,pos37,9,14.25,311.47433132010354
replicate_4,pos37,10,15.75,292.8403571428571
replicate_4,pos37,11,17.25,275.18985507246373
replicate_4,pos37,12,18.75,257.2577118897874
replicate_4,pos37,13,20.25,255.08928571428572
replicate_4,pos37,14,21.75,260.9620383036936
replicate_4,pos37,15,23.25,244.4727438706312
replicate_4,pos37,16,24.75,225.925
replicate_4,pos37,17,26.25,221.14393939393938
replicate_4,pos37,18,27.75,220.21781464118283
replicate_4,pos37,19,29.25,216.46938775510205
replicate_4,pos37,20,30.75,205.07471264367814
replicate_4,pos37,21,32.25,202.86111111111111
replicate_4,pos37,22,33.75,201.66532258064515
replicate_4,pos37,23,35.25,198.11738616203428
replicate_4,pos37,24,36.75,195.6984126984127
replicate_4,pos37,25,38.25,199.6338028169014
replicate_4,pos37,26,39.75,205.54237288135593
replicate_4,pos37,27,41.25,209.93975903614455
replicate_4,pos37,28,42.75,213.30717054263562
replicate_4,pos37,29,44.25,210.58620689655172
replicate_4,pos37,30,45.75,202.42000000000002
replicate_4,pos37,31,47.25,210.3108108108108
replicate_4,pos37,32,48.75,208.4406779661017
replicate_4,pos37,33,50.25,213.7032967032967
replicate_4,pos37,34,51.75,216.66197183098592
replicate_4,pos38,0,0.75,324.27536231884056
replicate_4,pos38,1,2.25,349.8059701492537
replicate_4,pos38,2,3.75,376.5846153846154
replicate_4,pos38,3,5.25,424.02333161777324
replicate_4,pos38,4,6.75,400.6516731855715
replicate_4,pos38,5,8.25,419.08145539906104
replicate_4,pos38,6,9.75,427.65164835164836
replicate_4,pos38,7,11.25,391.8218916857361
replicate_4,pos38,8,12.75,375.6
replicate_4,pos38,9,14.25,380.167292057536
replicate_4,pos38,10,15.75,334.55
replicate_4,pos38,11,17.25,321.0135135135135
replicate_4,pos38,12,18.75,313.0994115174443
replicate_4,pos38,13,20.25,292.171568627451
replicate_4,pos38,14,21.75,281.4876464998416
replicate_4,pos38,15,23.25,271.67857142857144
replicate_4,pos38,16,24.75,254.55232558139534
replicate_4,pos38,17,26.25,231.26315789473685
replicate_4,pos38,18,27.75,223.37444444444446
replicate_4,pos38,19,29.25,224.5910513141427
replicate_4,pos38,20,30.75,223.0652709359606
replicate_4,pos38,21,32.25,228.33382066276806
replicate_4,pos38,22,33.75,221.0796370967742
replicate_4,pos38,23,35.25,211.51385869565217
replicate_4,pos38,24,36.75,221.67948717948718
replicate_4,pos38,25,38.25,211.37331701346392
