replicate,pos,y_bin,y_um,median_intensity
replicate_2,pos8,4,6.75,2787.0
replicate_2,pos8,5,8.25,2806.0456967213113
replicate_2,pos8,6,9.75,2729.035067873303
replicate_2,pos8,7,11.25,2713.490909090909
replicate_2,pos8,8,12.75,2508.310344827586
replicate_2,pos8,9,14.25,2399.383255269321
replicate_2,pos8,10,15.75,2253.865671641791
replicate_2,pos8,11,17.25,2181.346153846154
replicate_2,pos8,12,18.75,2184.6
replicate_2,pos8,13,20.25,2074.686090225564
replicate_2,pos8,14,21.75,2041.8125
replicate_2,pos8,15,23.25,1989.12
replicate_2,pos8,16,24.75,1904.5819101834284
replicate_2,pos8,17,26.25,1849.129933481153
replicate_2,pos8,18,27.75,1874.0551378446114
replicate_2,pos8,19,29.25,1795.9840909090908
replicate_2,pos8,20,30.75,1830.576923076923
replicate_2,pos8,21,32.25,1768.421052631579
replicate_2,pos8,22,33.75,1668.375
replicate_2,pos8,23,35.25,1678.481684981685
replicate_2,pos8,24,36.75,1727.725641025641
replicate_2,pos8,25,38.25,1701.0096251266464
replicate_2,pos8,26,39.75,1678.553497468937
replicate_2,pos8,27,41.25,1676.4814814814815
replicate_2,pos8,28,42.75,1697.32
replicate_2,pos8,29,44.25,1661.8194444444443
replicate_2,pos8,30,45.75,1657.9019607843138
replicate_2,pos8,31,47.25,1636.4137931034484
replicate_2,pos8,32,48.75,1668.789090262971
replicate_2,pos8,33,50.25,1754.0
replicate_2,pos8,34,51.75,1798.1162162162163
replicate_2,pos8,35,53.25,1762.2280219780218
replicate_2,pos9,0,0.75,2759.192281420765
replicate_2,pos9,1,2.25,3030.2632275132273
replicate_2,pos9,2,3.75,3127.174822695036
replicate_2,pos9,3,5.25,3053.248977206312
replicate_2,pos9,4,6.75,2994.1546678372843
replicate_2,pos9,5,8.25,2898.719298245614
replicate_2,pos9,6,9.75,2710.4111111111115
replicate_2,pos9,7,11.25,2555.5929541595924
replicate_2,pos9,8,12.75,2522.5098039215686
replicate_2,pos9,9,14.25,2445.2727272727275
replicate_2,pos9,10,15.75,2337.86
replicate_2,pos9,11,17.25,2301.1739130434785
replicate_2,pos9,12,18.75,2237.1033088235295
replicate_2,pos9,13,20.25,2154.358002602472
replicate_2,pos9,14,21.75,2090.0350274725274
replicate_2,pos9,15,23.25,2036.5579890492781
replicate_2,pos9,16,24.75,1992.4725274725272
replicate_2,pos9,17,26.25,1913.9784090909093
replicate_2,pos9,18,27.75,1871.1875
replicate_2,pos9,19,29.25,1876.701754385965
replicate_2,pos9,20,30.75,1853.0500000000002
replicate_2,pos9,21,32.25,1810.7253694581282
replicate_2,pos9,22,33.75,1747.854838709677
